對話ID,學生ID,組別,班級,時間點,提問類型,Bloom層級,SOLO層級,知識點,分數
D0001,S001,實驗組,1班,前測,分析型,Level 4,SOLO 3,函式,87.5
D0002,S001,實驗組,1班,前測,分析型,Level 4,SOLO 4,變數與資料型態,67.0
D0003,S001,實驗組,1班,前測,分析型,Level 4,SOLO 3,遞迴,79.8
D0004,S001,實驗組,1班,前測,應用型,Level 3,SOLO 2,條件判斷,82.8
D0005,S001,實驗組,1班,後測,分析型,Level 4,SOLO 4,遞迴,84.7
D0006,S001,實驗組,1班,後測,應用型,Level 3,SOLO 3,陣列,65.4
D0007,S001,實驗組,1班,後測,評鑑型,Level 5,SOLO 5,字典,83.2
D0008,S001,實驗組,1班,後測,應用型,Level 3,SOLO 3,例外處理,73.5
D0009,S002,實驗組,2班,前測,分析型,Level 4,SOLO 3,迴圈,85.3
D0010,S002,實驗組,2班,前測,事實型,Level 1,SOLO 1,迴圈,69.3
D0011,S002,實驗組,2班,前測,分析型,Level 4,SOLO 4,例外處理,74.9
D0012,S002,實驗組,2班,前測,理解型,Level 2,SOLO 2,函式,81.3
D0013,S002,實驗組,2班,後測,理解型,Level 2,SOLO 1,函式,61.8
D0014,S002,實驗組,2班,後測,分析型,Level 4,SOLO 3,函式,85.4
D0015,S002,實驗組,2班,後測,評鑑型,Level 5,SOLO 5,遞迴,86.2
D0016,S002,實驗組,2班,後測,應用型,Level 3,SOLO 3,字典,77.2
D0017,S003,實驗組,3班,前測,理解型,Level 2,SOLO 1,變數與資料型態,72.9
D0018,S003,實驗組,3班,前測,分析型,Level 4,SOLO 4,字典,76.8
D0019,S003,實驗組,3班,前測,應用型,Level 3,SOLO 2,陣列,72.2
D0020,S003,實驗組,3班,前測,事實型,Level 1,SOLO 1,字典,74.7
D0021,S003,實驗組,3班,後測,分析型,Level 4,SOLO 4,遞迴,81.6
D0022,S003,實驗組,3班,後測,分析型,Level 4,SOLO 4,陣列,87.9
D0023,S003,實驗組,3班,後測,事實型,Level 1,SOLO 1,函式,73.6
D0024,S003,實驗組,3班,後測,分析型,Level 4,SOLO 3,遞迴,68.7
D0025,S004,實驗組,4班,前測,事實型,Level 1,SOLO 1,條件判斷,66.4
D0026,S004,實驗組,4班,前測,分析型,Level 4,SOLO 4,陣列,81.6
D0027,S004,實驗組,4班,前測,分析型,Level 4,SOLO 4,函式,84.6
D0028,S004,實驗組,4班,前測,事實型,Level 1,SOLO 1,變數與資料型態,61.2
D0029,S004,實驗組,4班,後測,評鑑型,Level 5,SOLO 4,函式,80.3
D0030,S004,實驗組,4班,後測,分析型,Level 4,SOLO 3,迴圈,84.5
D0031,S004,實驗組,4班,後測,分析型,Level 4,SOLO 4,函式,75.8
D0032,S004,實驗組,4班,後測,分析型,Level 4,SOLO 3,條件判斷,65.5
D0033,S005,實驗組,1班,前測,事實型,Level 1,SOLO 1,例外處理,69.0
D0034,S005,實驗組,1班,前測,分析型,Level 4,SOLO 4,條件判斷,93.0
D0035,S005,實驗組,1班,前測,分析型,Level 4,SOLO 4,字典,70.7
D0036,S005,實驗組,1班,前測,理解型,Level 2,SOLO 2,變數與資料型態,66.6
D0037,S005,實驗組,1班,後測,分析型,Level 4,SOLO 3,迴圈,84.3
D0038,S005,實驗組,1班,後測,分析型,Level 4,SOLO 3,迴圈,65.5
D0039,S005,實驗組,1班,後測,評鑑型,Level 5,SOLO 5,字典,87.3
D0040,S005,實驗組,1班,後測,分析型,Level 4,SOLO 4,陣列,77.6
D0041,S006,實驗組,2班,前測,事實型,Level 1,SOLO 1,函式,67.2
D0042,S006,實驗組,2班,前測,應用型,Level 3,SOLO 3,條件判斷,78.6
D0043,S006,實驗組,2班,前測,事實型,Level 1,SOLO 1,陣列,58.6
D0044,S006,實驗組,2班,前測,評鑑型,Level 5,SOLO 4,陣列,71.2
D0045,S006,實驗組,2班,後測,分析型,Level 4,SOLO 4,變數與資料型態,65.3
D0046,S006,實驗組,2班,後測,分析型,Level 4,SOLO 4,遞迴,88.4
D0047,S006,實驗組,2班,後測,分析型,Level 4,SOLO 3,函式,84.1
D0048,S006,實驗組,2班,後測,分析型,Level 4,SOLO 3,函式,82.7
D0049,S007,實驗組,3班,前測,理解型,Level 2,SOLO 1,陣列,63.9
D0050,S007,實驗組,3班,前測,事實型,Level 1,SOLO 1,遞迴,66.6
D0051,S007,實驗組,3班,前測,事實型,Level 1,SOLO 1,陣列,48.3
D0052,S007,實驗組,3班,前測,分析型,Level 4,SOLO 4,條件判斷,82.8
D0053,S007,實驗組,3班,後測,評鑑型,Level 5,SOLO 4,遞迴,94.8
D0054,S007,實驗組,3班,後測,創造型,Level 6,SOLO 5,迴圈,80.3
D0055,S007,實驗組,3班,後測,分析型,Level 4,SOLO 3,條件判斷,71.8
D0056,S007,實驗組,3班,後測,評鑑型,Level 5,SOLO 4,條件判斷,94.3
D0057,S008,實驗組,4班,前測,理解型,Level 2,SOLO 1,陣列,69.6
D0058,S008,實驗組,4班,前測,創造型,Level 6,SOLO 5,迴圈,85.5
D0059,S008,實驗組,4班,前測,應用型,Level 3,SOLO 2,例外處理,76.7
D0060,S008,實驗組,4班,前測,分析型,Level 4,SOLO 3,例外處理,78.8
D0061,S008,實驗組,4班,後測,分析型,Level 4,SOLO 4,條件判斷,82.2
D0062,S008,實驗組,4班,後測,分析型,Level 4,SOLO 4,條件判斷,84.3
D0063,S008,實驗組,4班,後測,評鑑型,Level 5,SOLO 5,條件判斷,72.8
D0064,S008,實驗組,4班,後測,應用型,Level 3,SOLO 3,變數與資料型態,92.2
D0065,S009,實驗組,1班,前測,事實型,Level 1,SOLO 1,迴圈,79.6
D0066,S009,實驗組,1班,前測,評鑑型,Level 5,SOLO 5,迴圈,76.1
D0067,S009,實驗組,1班,前測,分析型,Level 4,SOLO 4,例外處理,79.9
D0068,S009,實驗組,1班,前測,事實型,Level 1,SOLO 1,變數與資料型態,79.1
D0069,S009,實驗組,1班,後測,理解型,Level 2,SOLO 2,字典,49.5
D0070,S009,實驗組,1班,後測,分析型,Level 4,SOLO 3,字典,67.8
D0071,S009,實驗組,1班,後測,理解型,Level 2,SOLO 1,遞迴,79.2
D0072,S009,實驗組,1班,後測,評鑑型,Level 5,SOLO 4,迴圈,80.2
D0073,S010,實驗組,2班,前測,理解型,Level 2,SOLO 2,函式,75.4
D0074,S010,實驗組,2班,前測,創造型,Level 6,SOLO 5,條件判斷,83.0
D0075,S010,實驗組,2班,前測,事實型,Level 1,SOLO 1,陣列,66.8
D0076,S010,實驗組,2班,前測,事實型,Level 1,SOLO 1,迴圈,67.3
D0077,S010,實驗組,2班,後測,創造型,Level 6,SOLO 5,陣列,81.5
D0078,S010,實驗組,2班,後測,評鑑型,Level 5,SOLO 5,函式,79.1
D0079,S010,實驗組,2班,後測,事實型,Level 1,SOLO 1,變數與資料型態,57.7
D0080,S010,實驗組,2班,後測,評鑑型,Level 5,SOLO 5,迴圈,83.4
D0081,S011,實驗組,3班,前測,應用型,Level 3,SOLO 2,遞迴,97.1
D0082,S011,實驗組,3班,前測,應用型,Level 3,SOLO 3,條件判斷,86.2
D0083,S011,實驗組,3班,前測,分析型,Level 4,SOLO 3,遞迴,65.3
D0084,S011,實驗組,3班,前測,理解型,Level 2,SOLO 2,迴圈,59.0
D0085,S011,實驗組,3班,後測,評鑑型,Level 5,SOLO 4,變數與資料型態,73.3
D0086,S011,實驗組,3班,後測,分析型,Level 4,SOLO 4,迴圈,97.3
D0087,S011,實驗組,3班,後測,應用型,Level 3,SOLO 2,迴圈,82.8
D0088,S011,實驗組,3班,後測,理解型,Level 2,SOLO 2,條件判斷,68.7
D0089,S012,實驗組,4班,前測,事實型,Level 1,SOLO 1,變數與資料型態,62.3
D0090,S012,實驗組,4班,前測,事實型,Level 1,SOLO 1,變數與資料型態,69.7
D0091,S012,實驗組,4班,前測,分析型,Level 4,SOLO 3,函式,83.5
D0092,S012,實驗組,4班,前測,應用型,Level 3,SOLO 2,例外處理,67.8
D0093,S012,實驗組,4班,後測,事實型,Level 1,SOLO 1,迴圈,93.1
D0094,S012,實驗組,4班,後測,應用型,Level 3,SOLO 2,陣列,78.9
D0095,S012,實驗組,4班,後測,事實型,Level 1,SOLO 1,條件判斷,67.6
D0096,S012,實驗組,4班,後測,理解型,Level 2,SOLO 2,遞迴,72.6
D0097,S013,實驗組,1班,前測,評鑑型,Level 5,SOLO 4,變數與資料型態,94.3
D0098,S013,實驗組,1班,前測,評鑑型,Level 5,SOLO 5,例外處理,80.3
D0099,S013,實驗組,1班,前測,分析型,Level 4,SOLO 3,字典,77.1
D0100,S013,實驗組,1班,前測,事實型,Level 1,SOLO 1,陣列,66.5
D0101,S013,實驗組,1班,後測,評鑑型,Level 5,SOLO 4,函式,82.6
D0102,S013,實驗組,1班,後測,分析型,Level 4,SOLO 4,條件判斷,76.3
D0103,S013,實驗組,1班,後測,分析型,Level 4,SOLO 4,函式,97.3
D0104,S013,實驗組,1班,後測,應用型,Level 3,SOLO 2,條件判斷,71.7
D0105,S014,實驗組,2班,前測,理解型,Level 2,SOLO 2,字典,66.7
D0106,S014,實驗組,2班,前測,創造型,Level 6,SOLO 5,例外處理,100.0
D0107,S014,實驗組,2班,前測,理解型,Level 2,SOLO 2,陣列,87.4
D0108,S014,實驗組,2班,前測,分析型,Level 4,SOLO 4,遞迴,77.0
D0109,S014,實驗組,2班,後測,分析型,Level 4,SOLO 4,條件判斷,89.9
D0110,S014,實驗組,2班,後測,應用型,Level 3,SOLO 2,字典,73.1
D0111,S014,實驗組,2班,後測,分析型,Level 4,SOLO 3,變數與資料型態,98.2
D0112,S014,實驗組,2班,後測,理解型,Level 2,SOLO 1,例外處理,69.3
D0113,S015,實驗組,3班,前測,創造型,Level 6,SOLO 5,遞迴,100.0
D0114,S015,實驗組,3班,前測,分析型,Level 4,SOLO 3,遞迴,69.9
D0115,S015,實驗組,3班,前測,理解型,Level 2,SOLO 1,陣列,63.3
D0116,S015,實驗組,3班,前測,應用型,Level 3,SOLO 3,迴圈,86.6
D0117,S015,實驗組,3班,後測,分析型,Level 4,SOLO 4,函式,83.0
D0118,S015,實驗組,3班,後測,評鑑型,Level 5,SOLO 4,遞迴,100.0
D0119,S015,實驗組,3班,後測,分析型,Level 4,SOLO 4,例外處理,85.9
D0120,S015,實驗組,3班,後測,理解型,Level 2,SOLO 1,變數與資料型態,73.7
D0121,S016,實驗組,4班,前測,應用型,Level 3,SOLO 2,遞迴,83.1
D0122,S016,實驗組,4班,前測,理解型,Level 2,SOLO 1,例外處理,72.3
D0123,S016,實驗組,4班,前測,理解型,Level 2,SOLO 1,條件判斷,68.5
D0124,S016,實驗組,4班,前測,事實型,Level 1,SOLO 1,迴圈,75.0
D0125,S016,實驗組,4班,後測,分析型,Level 4,SOLO 3,函式,94.8
D0126,S016,實驗組,4班,後測,分析型,Level 4,SOLO 3,例外處理,82.0
D0127,S016,實驗組,4班,後測,分析型,Level 4,SOLO 4,函式,93.3
D0128,S016,實驗組,4班,後測,評鑑型,Level 5,SOLO 4,例外處理,90.5
D0129,S017,實驗組,1班,前測,評鑑型,Level 5,SOLO 4,字典,65.0
D0130,S017,實驗組,1班,前測,應用型,Level 3,SOLO 3,字典,76.1
D0131,S017,實驗組,1班,前測,應用型,Level 3,SOLO 2,遞迴,62.5
D0132,S017,實驗組,1班,前測,應用型,Level 3,SOLO 3,函式,79.4
D0133,S017,實驗組,1班,後測,創造型,Level 6,SOLO 5,遞迴,75.9
D0134,S017,實驗組,1班,後測,創造型,Level 6,SOLO 5,例外處理,85.3
D0135,S017,實驗組,1班,後測,評鑑型,Level 5,SOLO 5,變數與資料型態,86.4
D0136,S017,實驗組,1班,後測,理解型,Level 2,SOLO 1,例外處理,75.3
D0137,S018,實驗組,2班,前測,理解型,Level 2,SOLO 2,迴圈,72.0
D0138,S018,實驗組,2班,前測,理解型,Level 2,SOLO 2,例外處理,75.2
D0139,S018,實驗組,2班,前測,事實型,Level 1,SOLO 1,變數與資料型態,73.3
D0140,S018,實驗組,2班,前測,應用型,Level 3,SOLO 2,遞迴,60.2
D0141,S018,實驗組,2班,後測,評鑑型,Level 5,SOLO 5,變數與資料型態,92.5
D0142,S018,實驗組,2班,後測,創造型,Level 6,SOLO 5,遞迴,100.0
D0143,S018,實驗組,2班,後測,評鑑型,Level 5,SOLO 5,變數與資料型態,77.3
D0144,S018,實驗組,2班,後測,理解型,Level 2,SOLO 1,陣列,83.5
D0145,S019,實驗組,3班,前測,應用型,Level 3,SOLO 3,遞迴,69.1
D0146,S019,實驗組,3班,前測,分析型,Level 4,SOLO 4,迴圈,76.4
D0147,S019,實驗組,3班,前測,分析型,Level 4,SOLO 3,例外處理,66.2
D0148,S019,實驗組,3班,前測,事實型,Level 1,SOLO 1,陣列,69.7
D0149,S019,實驗組,3班,後測,創造型,Level 6,SOLO 5,字典,99.3
D0150,S019,實驗組,3班,後測,理解型,Level 2,SOLO 1,迴圈,59.3
D0151,S019,實驗組,3班,後測,分析型,Level 4,SOLO 3,遞迴,78.1
D0152,S019,實驗組,3班,後測,分析型,Level 4,SOLO 4,迴圈,93.2
D0153,S020,實驗組,4班,前測,理解型,Level 2,SOLO 2,陣列,80.7
D0154,S020,實驗組,4班,前測,應用型,Level 3,SOLO 3,例外處理,78.8
D0155,S020,實驗組,4班,前測,應用型,Level 3,SOLO 2,函式,94.5
D0156,S020,實驗組,4班,前測,事實型,Level 1,SOLO 1,迴圈,66.6
D0157,S020,實驗組,4班,後測,應用型,Level 3,SOLO 2,函式,78.3
D0158,S020,實驗組,4班,後測,分析型,Level 4,SOLO 3,函式,71.7
D0159,S020,實驗組,4班,後測,應用型,Level 3,SOLO 2,陣列,63.8
D0160,S020,實驗組,4班,後測,事實型,Level 1,SOLO 1,函式,84.4
D0161,S021,對照組,1班,前測,理解型,Level 2,SOLO 2,陣列,73.5
D0162,S021,對照組,1班,前測,應用型,Level 3,SOLO 2,字典,76.9
D0163,S021,對照組,1班,前測,理解型,Level 2,SOLO 2,遞迴,80.6
D0164,S021,對照組,1班,前測,理解型,Level 2,SOLO 1,字典,96.0
D0165,S021,對照組,1班,後測,應用型,Level 3,SOLO 2,字典,75.9
D0166,S021,對照組,1班,後測,評鑑型,Level 5,SOLO 4,陣列,83.3
D0167,S021,對照組,1班,後測,分析型,Level 4,SOLO 4,條件判斷,71.5
D0168,S021,對照組,1班,後測,應用型,Level 3,SOLO 3,變數與資料型態,81.7
D0169,S022,對照組,2班,前測,分析型,Level 4,SOLO 3,變數與資料型態,77.1
D0170,S022,對照組,2班,前測,理解型,Level 2,SOLO 2,迴圈,79.4
D0171,S022,對照組,2班,前測,分析型,Level 4,SOLO 3,變數與資料型態,60.1
D0172,S022,對照組,2班,前測,分析型,Level 4,SOLO 4,條件判斷,89.0
D0173,S022,對照組,2班,後測,應用型,Level 3,SOLO 2,變數與資料型態,45.4
D0174,S022,對照組,2班,後測,創造型,Level 6,SOLO 5,例外處理,94.3
D0175,S022,對照組,2班,後測,理解型,Level 2,SOLO 1,字典,54.4
D0176,S022,對照組,2班,後測,應用型,Level 3,SOLO 2,字典,74.1
D0177,S023,對照組,3班,前測,事實型,Level 1,SOLO 1,陣列,71.7
D0178,S023,對照組,3班,前測,事實型,Level 1,SOLO 1,遞迴,81.3
D0179,S023,對照組,3班,前測,應用型,Level 3,SOLO 3,遞迴,88.4
D0180,S023,對照組,3班,前測,事實型,Level 1,SOLO 1,函式,60.6
D0181,S023,對照組,3班,後測,事實型,Level 1,SOLO 1,遞迴,67.6
D0182,S023,對照組,3班,後測,應用型,Level 3,SOLO 2,迴圈,65.6
D0183,S023,對照組,3班,後測,評鑑型,Level 5,SOLO 4,變數與資料型態,69.3
D0184,S023,對照組,3班,後測,理解型,Level 2,SOLO 2,函式,81.5
D0185,S024,對照組,4班,前測,應用型,Level 3,SOLO 3,變數與資料型態,58.1
D0186,S024,對照組,4班,前測,分析型,Level 4,SOLO 3,字典,78.2
D0187,S024,對照組,4班,前測,應用型,Level 3,SOLO 2,遞迴,77.0
D0188,S024,對照組,4班,前測,理解型,Level 2,SOLO 1,陣列,76.6
D0189,S024,對照組,4班,後測,評鑑型,Level 5,SOLO 5,函式,88.0
D0190,S024,對照組,4班,後測,評鑑型,Level 5,SOLO 5,陣列,81.9
D0191,S024,對照組,4班,後測,應用型,Level 3,SOLO 3,遞迴,62.6
D0192,S024,對照組,4班,後測,應用型,Level 3,SOLO 2,陣列,66.1
D0193,S025,對照組,1班,前測,理解型,Level 2,SOLO 1,例外處理,70.5
D0194,S025,對照組,1班,前測,事實型,Level 1,SOLO 1,條件判斷,72.4
D0195,S025,對照組,1班,前測,事實型,Level 1,SOLO 1,例外處理,70.5
D0196,S025,對照組,1班,前測,理解型,Level 2,SOLO 2,陣列,69.3
D0197,S025,對照組,1班,後測,理解型,Level 2,SOLO 2,字典,71.9
D0198,S025,對照組,1班,後測,創造型,Level 6,SOLO 5,陣列,100.0
D0199,S025,對照組,1班,後測,分析型,Level 4,SOLO 3,例外處理,55.9
D0200,S025,對照組,1班,後測,創造型,Level 6,SOLO 5,遞迴,79.3
D0201,S026,對照組,2班,前測,事實型,Level 1,SOLO 1,字典,53.2
D0202,S026,對照組,2班,前測,應用型,Level 3,SOLO 2,字典,91.1
D0203,S026,對照組,2班,前測,創造型,Level 6,SOLO 5,條件判斷,100.0
D0204,S026,對照組,2班,前測,分析型,Level 4,SOLO 3,條件判斷,63.5
D0205,S026,對照組,2班,後測,事實型,Level 1,SOLO 1,遞迴,59.8
D0206,S026,對照組,2班,後測,創造型,Level 6,SOLO 5,函式,72.3
D0207,S026,對照組,2班,後測,應用型,Level 3,SOLO 3,遞迴,87.7
D0208,S026,對照組,2班,後測,應用型,Level 3,SOLO 2,遞迴,80.4
D0209,S027,對照組,3班,前測,分析型,Level 4,SOLO 4,變數與資料型態,63.1
D0210,S027,對照組,3班,前測,事實型,Level 1,SOLO 1,變數與資料型態,67.4
D0211,S027,對照組,3班,前測,應用型,Level 3,SOLO 2,遞迴,66.9
D0212,S027,對照組,3班,前測,分析型,Level 4,SOLO 4,遞迴,82.4
D0213,S027,對照組,3班,後測,理解型,Level 2,SOLO 2,陣列,65.6
D0214,S027,對照組,3班,後測,事實型,Level 1,SOLO 1,陣列,58.8
D0215,S027,對照組,3班,後測,事實型,Level 1,SOLO 1,函式,60.9
D0216,S027,對照組,3班,後測,分析型,Level 4,SOLO 4,迴圈,55.9
D0217,S028,對照組,4班,前測,理解型,Level 2,SOLO 1,遞迴,65.9
D0218,S028,對照組,4班,前測,應用型,Level 3,SOLO 3,函式,72.1
D0219,S028,對照組,4班,前測,評鑑型,Level 5,SOLO 4,迴圈,90.8
D0220,S028,對照組,4班,前測,理解型,Level 2,SOLO 2,字典,77.0
D0221,S028,對照組,4班,後測,創造型,Level 6,SOLO 5,條件判斷,86.6
D0222,S028,對照組,4班,後測,事實型,Level 1,SOLO 1,陣列,47.7
D0223,S028,對照組,4班,後測,應用型,Level 3,SOLO 3,例外處理,93.5
D0224,S028,對照組,4班,後測,事實型,Level 1,SOLO 1,條件判斷,54.0
D0225,S029,對照組,1班,前測,事實型,Level 1,SOLO 1,變數與資料型態,56.3
D0226,S029,對照組,1班,前測,應用型,Level 3,SOLO 2,條件判斷,71.8
D0227,S029,對照組,1班,前測,評鑑型,Level 5,SOLO 4,遞迴,76.0
D0228,S029,對照組,1班,前測,理解型,Level 2,SOLO 2,例外處理,52.9
D0229,S029,對照組,1班,後測,理解型,Level 2,SOLO 1,例外處理,64.8
D0230,S029,對照組,1班,後測,分析型,Level 4,SOLO 4,陣列,82.7
D0231,S029,對照組,1班,後測,理解型,Level 2,SOLO 1,迴圈,78.4
D0232,S029,對照組,1班,後測,事實型,Level 1,SOLO 1,遞迴,68.9
D0233,S030,對照組,2班,前測,應用型,Level 3,SOLO 3,遞迴,73.3
D0234,S030,對照組,2班,前測,理解型,Level 2,SOLO 1,函式,82.5
D0235,S030,對照組,2班,前測,應用型,Level 3,SOLO 3,遞迴,70.0
D0236,S030,對照組,2班,前測,分析型,Level 4,SOLO 4,迴圈,87.9
D0237,S030,對照組,2班,後測,事實型,Level 1,SOLO 1,字典,60.8
D0238,S030,對照組,2班,後測,應用型,Level 3,SOLO 2,函式,84.5
D0239,S030,對照組,2班,後測,創造型,Level 6,SOLO 5,變數與資料型態,82.2
D0240,S030,對照組,2班,後測,理解型,Level 2,SOLO 1,變數與資料型態,60.8
D0241,S031,對照組,3班,前測,應用型,Level 3,SOLO 2,條件判斷,72.5
D0242,S031,對照組,3班,前測,事實型,Level 1,SOLO 1,函式,75.5
D0243,S031,對照組,3班,前測,應用型,Level 3,SOLO 3,迴圈,80.6
D0244,S031,對照組,3班,前測,理解型,Level 2,SOLO 2,函式,69.9
D0245,S031,對照組,3班,後測,事實型,Level 1,SOLO 1,遞迴,64.9
D0246,S031,對照組,3班,後測,應用型,Level 3,SOLO 3,函式,59.4
D0247,S031,對照組,3班,後測,應用型,Level 3,SOLO 2,遞迴,64.8
D0248,S031,對照組,3班,後測,理解型,Level 2,SOLO 2,條件判斷,47.2
D0249,S032,對照組,4班,前測,理解型,Level 2,SOLO 1,字典,84.6
D0250,S032,對照組,4班,前測,理解型,Level 2,SOLO 2,例外處理,58.6
D0251,S032,對照組,4班,前測,理解型,Level 2,SOLO 1,字典,70.6
D0252,S032,對照組,4班,前測,事實型,Level 1,SOLO 1,迴圈,67.8
D0253,S032,對照組,4班,後測,事實型,Level 1,SOLO 1,迴圈,73.1
D0254,S032,對照組,4班,後測,事實型,Level 1,SOLO 1,陣列,75.0
D0255,S032,對照組,4班,後測,應用型,Level 3,SOLO 3,陣列,56.4
D0256,S032,對照組,4班,後測,事實型,Level 1,SOLO 1,遞迴,83.0
D0257,S033,對照組,1班,前測,事實型,Level 1,SOLO 1,遞迴,56.1
D0258,S033,對照組,1班,前測,理解型,Level 2,SOLO 2,例外處理,59.8
D0259,S033,對照組,1班,前測,應用型,Level 3,SOLO 2,例外處理,86.4
D0260,S033,對照組,1班,前測,分析型,Level 4,SOLO 4,條件判斷,86.4
D0261,S033,對照組,1班,後測,應用型,Level 3,SOLO 3,迴圈,81.4
D0262,S033,對照組,1班,後測,理解型,Level 2,SOLO 1,變數與資料型態,73.4
D0263,S033,對照組,1班,後測,理解型,Level 2,SOLO 2,變數與資料型態,64.4
D0264,S033,對照組,1班,後測,分析型,Level 4,SOLO 3,字典,97.3
D0265,S034,對照組,2班,前測,理解型,Level 2,SOLO 2,例外處理,83.5
D0266,S034,對照組,2班,前測,事實型,Level 1,SOLO 1,迴圈,54.1
D0267,S034,對照組,2班,前測,事實型,Level 1,SOLO 1,陣列,52.0
D0268,S034,對照組,2班,前測,事實型,Level 1,SOLO 1,變數與資料型態,83.0
D0269,S034,對照組,2班,後測,應用型,Level 3,SOLO 3,迴圈,77.5
D0270,S034,對照組,2班,後測,評鑑型,Level 5,SOLO 5,陣列,74.2
D0271,S034,對照組,2班,後測,理解型,Level 2,SOLO 1,變數與資料型態,57.5
D0272,S034,對照組,2班,後測,理解型,Level 2,SOLO 2,字典,52.1
D0273,S035,對照組,3班,前測,事實型,Level 1,SOLO 1,陣列,75.6
D0274,S035,對照組,3班,前測,評鑑型,Level 5,SOLO 4,條件判斷,76.5
D0275,S035,對照組,3班,前測,應用型,Level 3,SOLO 2,函式,78.8
D0276,S035,對照組,3班,前測,分析型,Level 4,SOLO 3,陣列,78.7
D0277,S035,對照組,3班,後測,創造型,Level 6,SOLO 5,函式,92.2
D0278,S035,對照組,3班,後測,事實型,Level 1,SOLO 1,遞迴,67.5
D0279,S035,對照組,3班,後測,應用型,Level 3,SOLO 2,變數與資料型態,78.1
D0280,S035,對照組,3班,後測,應用型,Level 3,SOLO 3,字典,77.7
D0281,S036,對照組,4班,前測,創造型,Level 6,SOLO 5,迴圈,100.0
D0282,S036,對照組,4班,前測,分析型,Level 4,SOLO 3,例外處理,68.4
D0283,S036,對照組,4班,前測,理解型,Level 2,SOLO 1,字典,70.3
D0284,S036,對照組,4班,前測,理解型,Level 2,SOLO 2,陣列,82.1
D0285,S036,對照組,4班,後測,分析型,Level 4,SOLO 3,遞迴,95.6
D0286,S036,對照組,4班,後測,事實型,Level 1,SOLO 1,例外處理,57.5
D0287,S036,對照組,4班,後測,分析型,Level 4,SOLO 3,變數與資料型態,94.3
D0288,S036,對照組,4班,後測,分析型,Level 4,SOLO 4,變數與資料型態,99.1
D0289,S037,對照組,1班,前測,理解型,Level 2,SOLO 1,字典,69.1
D0290,S037,對照組,1班,前測,理解型,Level 2,SOLO 1,條件判斷,100.0
D0291,S037,對照組,1班,前測,應用型,Level 3,SOLO 3,函式,84.7
D0292,S037,對照組,1班,前測,評鑑型,Level 5,SOLO 4,函式,94.1
D0293,S037,對照組,1班,後測,理解型,Level 2,SOLO 2,函式,70.1
D0294,S037,對照組,1班,後測,理解型,Level 2,SOLO 2,字典,50.6
D0295,S037,對照組,1班,後測,創造型,Level 6,SOLO 5,迴圈,75.6
D0296,S037,對照組,1班,後測,分析型,Level 4,SOLO 3,例外處理,73.1
D0297,S038,對照組,2班,前測,事實型,Level 1,SOLO 1,迴圈,60.9
D0298,S038,對照組,2班,前測,理解型,Level 2,SOLO 2,條件判斷,72.8
D0299,S038,對照組,2班,前測,應用型,Level 3,SOLO 3,例外處理,75.6
D0300,S038,對照組,2班,前測,應用型,Level 3,SOLO 2,變數與資料型態,74.9
D0301,S038,對照組,2班,後測,理解型,Level 2,SOLO 2,遞迴,69.7
D0302,S038,對照組,2班,後測,評鑑型,Level 5,SOLO 5,例外處理,73.9
D0303,S038,對照組,2班,後測,創造型,Level 6,SOLO 5,變數與資料型態,92.9
D0304,S038,對照組,2班,後測,理解型,Level 2,SOLO 2,陣列,45.0
D0305,S039,對照組,3班,前測,分析型,Level 4,SOLO 3,陣列,74.4
D0306,S039,對照組,3班,前測,事實型,Level 1,SOLO 1,條件判斷,61.9
D0307,S039,對照組,3班,前測,分析型,Level 4,SOLO 4,陣列,71.4
D0308,S039,對照組,3班,前測,理解型,Level 2,SOLO 1,條件判斷,73.9
D0309,S039,對照組,3班,後測,分析型,Level 4,SOLO 4,遞迴,95.9
D0310,S039,對照組,3班,後測,創造型,Level 6,SOLO 5,變數與資料型態,87.7
D0311,S039,對照組,3班,後測,事實型,Level 1,SOLO 1,條件判斷,54.2
D0312,S039,對照組,3班,後測,理解型,Level 2,SOLO 1,函式,75.6
D0313,S040,對照組,4班,前測,理解型,Level 2,SOLO 1,字典,81.6
D0314,S040,對照組,4班,前測,評鑑型,Level 5,SOLO 4,條件判斷,90.3
D0315,S040,對照組,4班,前測,理解型,Level 2,SOLO 2,迴圈,66.8
D0316,S040,對照組,4班,前測,評鑑型,Level 5,SOLO 5,例外處理,79.3
D0317,S040,對照組,4班,後測,應用型,Level 3,SOLO 3,函式,73.3
D0318,S040,對照組,4班,後測,應用型,Level 3,SOLO 2,函式,75.8
D0319,S040,對照組,4班,後測,事實型,Level 1,SOLO 1,例外處理,76.7
D0320,S040,對照組,4班,後測,創造型,Level 6,SOLO 5,迴圈,95.9
